,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
10,11802890,뽕사부압구정점,압구정점,Q,음식,Q02,중식,Q02A00,중국음식/중국집,I56112,중식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106200001,1,대지,620,1,서울특별시 강남구 신사동 620-1,116804166520,서울특별시 강남구 압구정로36길,12,,1168010700106200001027298,메디컬뱅크,서울특별시 강남구 압구정로36길 12,135894,06023,,1,,127.031312193691,37.527643131377
11,11805560,복이오,압구정본점,Q,음식,Q03,일식/수산물,Q03A20,복전문,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106270013,1,대지,627,13,서울특별시 강남구 신사동 627-13,116803005086,서울특별시 강남구 언주로,821,,1168010700106270013027798,금수빌딩,서울특별시 강남구 언주로 821,135895,06024,,5,,127.032779307751,37.5235463615505
12,11805808,오가노,압구정점,Q,음식,Q03,일식/수산물,Q03A02,음식점-일식,I56113,일식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106450008,1,대지,645,8,서울특별시 강남구 신사동 645-8,116804166594,서울특별시 강남구 언주로164길,13,,1168010700106450008010162,,서울특별시 강남구 언주로164길 13,135896,06020,,,,127.034484722388,37.525524608625
13,11812674,에스테번,,Q,음식,Q06,양식,Q06A07,기타전문서양음식점,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106500008,1,대지,650,8,서울특별시 강남구 신사동 650-8,116804166277,서울특별시 강남구 도산대로45길,16,11,1168010700106500008010473,,서울특별시 강남구 도산대로45길 16-11,135896,06021,,1,,127.036157986223,37.5238533093839
14,11856190,씨엘쏭마이쏭,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106500017,1,대지,650,17,서울특별시 강남구 신사동 650-17,116804166277,서울특별시 강남구 도산대로45길,16,4,1168010700106500017000001,,서울특별시 강남구 도산대로45길 16-4,135896,06021,,1,,127.035678180564,37.5233357931082
15,11871980,스시인,,Q,음식,Q03,일식/수산물,Q03A01,횟집,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106450028,1,대지,645,28,서울특별시 강남구 신사동 645-28,116804166523,서울특별시 강남구 압구정로42길,49,,1168010700106450028010138,,서울특별시 강남구 압구정로42길 49,135896,06020,,1,,127.034517265748,37.5256330008584
16,11921701,시래밥상,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106200000,1,대지,620,,서울특별시 강남구 신사동 620,116804166519,서울특별시 강남구 압구정로34길,11,,1168010700106200000009810,압구정스퀘어,서울특별시 강남구 압구정로34길 11,135894,06023,,1,,127.030953921703,37.5273518558381
17,11923827,가람푸드써비스청담고등구내식당학교지점,학교지점,Q,음식,Q14,기타음식업,Q14A01,구내식당/자급식음식점,I56120,기관구내식당업,11,서울특별시,11680,강남구,1168054500,압구정동,1168011000,압구정동,1168011000105260000,1,대지,526,,서울특별시 강남구 압구정동 526,116803122007,서울특별시 강남구 압구정로,419,,1168011000105260000004983,청담고등학교,서울특별시 강남구 압구정로 419,135906,06009,,1,,127.043877020029,37.5280158395092
18,11924428,더청춘,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106440010,1,대지,644,10,서울특별시 강남구 신사동 644-10,116804166597,서울특별시 강남구 언주로168길,23,,1168010700106440010010003,,서울특별시 강남구 언주로168길 23,135896,06017,,1,,127.035493776585,37.5262356738766
19,11944977,까페바소,페바소,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106000013,1,대지,600,13,서울특별시 강남구 신사동 600-13,116804166155,서울특별시 강남구 논현로164길,11,,1168010700106000013010532,,서울특별시 강남구 논현로164길 11,135893,06025,,1,,127.029428992313,37.5236720549939
